fname,E,N,Z
GS.OK025.mseed,HH1,HH2,HHZ
GS.OK026.mseed,HH1,HH2,HHZ
GS.OK027.mseed,HH1,HH2,HHZ
GS.OK028.mseed,HH1,HH2,HHZ
GS.OK029.mseed,HH1,HH2,HHZ
N4.T35B.mseed,HHE,HHN,HHZ
NX.STN01.mseed,HH1,HH2,HHZ
NX.STN02.mseed,HH1,HH2,HHZ
NX.STN03.mseed,HH1,HH2,HHZ
NX.STN04.mseed,HH1,HH2,HHZ
NX.STN05.mseed,HH1,HH2,HHZ
NX.STN06.mseed,HH1,HH2,HHZ
NX.STN07.mseed,HH1,HH2,HHZ
NX.STN08.mseed,HH1,HH2,HHZ
NX.STN09.mseed,HH1,HH2,HHZ
NX.STN10.mseed,HH1,HH2,HHZ
NX.STN11.mseed,HH1,HH2,HHZ
NX.STN12.mseed,HH1,HH2,HHZ
NX.STN13.mseed,HH1,HH2,HHZ
NX.STN14.mseed,HH1,HH2,HHZ
NX.STN15.mseed,HH1,HH2,HHZ
NX.STN16.mseed,HH1,HH2,HHZ
NX.STN17.mseed,HH1,HH2,HHZ
NX.STN18.mseed,HH1,HH2,HHZ
NX.STN20.mseed,HH1,HH2,HHZ
NX.STN22.mseed,HH1,HH2,HHZ
NX.STN23.mseed,HH1,HH2,HHZ
NX.STN31.mseed,HH1,HH2,HHZ
NX.STN32.mseed,HH1,HH2,HHZ
NX.STN33.mseed,HH1,HH2,HHZ
NX.STN34.mseed,HH1,HH2,HHZ
NX.STN35.mseed,HH1,HH2,HHZ
OK.BCOK.mseed,HHE,HHN,HHZ
OK.FNO.mseed,HHE,HHN,HHZ
OK.KAY1.mseed,HHE,HHN,HHZ
OK.OKCSW.mseed,EHE,EHN,EHZ
OK.QUOK.mseed,HHE,HHN,HHZ
OK.W35A.mseed,EHE,EHN,EHZ
TA.TUL1.mseed,BHE,BHN,BHZ
