network,station,onsetP
GS,OK025,41.54
NX,STN02,41.9
GS,OK026,44.57
GS,OK029,41.480000000000004
N4,T35B,48.82
GS,OK028,39.18
GS,OK027,39.71
NX,STN01,44.19
NX,STN09,39.42
NX,STN03,37.07
NX,STN08,42.46
NX,STN05,33.34
NX,STN07,46.37
NX,STN06,35.410000000000004
NX,STN10,35.24
NX,STN04,33.18
NX,STN17,39.34
NX,STN11,34.730000000000004
NX,STN16,39.94
NX,STN13,47.78
NX,STN15,42.5
NX,STN14,46.76
NX,STN18,39.69
NX,STN12,37.79
NX,STN34,41.300000000000004
NX,STN20,48.65
NX,STN33,36.2
NX,STN23,45.230000000000004
NX,STN32,38.410000000000004
NX,STN31,41.52
NX,STN35,40.07
NX,STN22,45.62
TA,TUL1,45.075
OK,BCOK,44.37
OK,W35A,45.11
OK,KAY1,47.075
OK,QUOK,35.09
OK,OKCSW,44.64
OK,FNO,46.54
