NetName,StName,Az(deg),EpDis(km),p_offAng(deg),p_POL(Z)
G,ATD,267.5,5748.05,22.99,-1
G,CRZF,209.34,8780.49,16.61,-1
G,CAN,137.64,8459.9,17.27,-1
G,INU,60.37,4246.02,26.13,1
G,RER,225.18,6469.63,21.4,-1
GE,DAG,347.46,8233.47,17.81,1
GT,LBTB,239.48,9205.5,15.74,-1
G,TAM,291.43,9131.75,15.92,1
IU,BILL,23.48,6947.4,20.44,1
IU,CTAO,126.73,7185.36,19.94,-1
IU,CASY,174.15,9865.18,14.24,-1
IU,GNI,304.99,5199.36,24.16,1
IU,GUMO,91.6,5251.04,24.05,-1
IU,HNR,109.34,7802.86,18.68,-1
IU,KEV,338.53,6918.49,20.51,1
IU,KIEV,316.91,6515.07,21.35,1
IU,KMBO,256.13,6859.0,20.63,-1
IU,KONO,327.32,7717.39,18.88,1
IU,LSZ,247.03,8459.43,17.3,-1
IU,MA2,31.05,5964.48,22.52,1
IU,MBWA,149.93,5430.19,23.61,-1
IU,MAJO,58.73,4372.27,25.88,-1
IU,NWAO,158.93,6487.2,21.34,-1
IU,PMG,116.29,6583.28,21.2,-1
IU,YSS,44.83,5011.8,24.56,1
IU,TIXI,12.42,5902.87,22.65,1
PS,OGS,73.49,4697.74,25.22,-1
