fname,E,N,Z
G.ATD.mseed,BHE,BHN,BHZ
G.CAN.mseed,BHE,BHN,BHZ
G.CRZF.mseed,BHE,BHN,BHZ
G.INU.mseed,BHE,BHN,BHZ
G.RER.mseed,BHE,BHN,BHZ
G.TAM.mseed,BHE,BHN,BHZ
GE.DAG.mseed,BHE,BHN,BHZ
GT.LBTB.mseed,BHE,BHN,BHZ
IU.BILL.mseed,BH1,BH2,BHZ
IU.CASY.mseed,BH1,BH2,BHZ
IU.CTAO.mseed,BH1,BH2,BHZ
IU.GNI.mseed,BH1,BH2,BHZ
IU.GUMO.mseed,BH1,BH2,BHZ
IU.HNR.mseed,BH1,BH2,BHZ
IU.KEV.mseed,BH1,BH2,BHZ
IU.KIEV.mseed,BH1,BH2,BHZ
IU.KMBO.mseed,BH1,BH2,BHZ
IU.KONO.mseed,BH1,BH2,BHZ
IU.LSZ.mseed,BH1,BH2,BHZ
IU.MA2.mseed,BH1,BH2,BHZ
IU.MAJO.mseed,BH1,BH2,BHZ
IU.MBWA.mseed,BH1,BH2,BHZ
IU.NWAO.mseed,BH1,BH2,BHZ
IU.PMG.mseed,BH1,BH2,BHZ
IU.TIXI.mseed,BH1,BH2,BHZ
IU.YSS.mseed,BH1,BH2,BHZ
PS.OGS.mseed,BHE,BHN,BHZ
